#{"t_start": 1776543431.8536737, "env_id": "LunarLanderContinuous-v3"}
r,l,t
299.563826,232,1691.657475
12.207298,292,1695.865539
251.701138,161,1697.659582
292.606652,166,1699.572321
258.148539,204,1701.924356
247.59148,206,1704.221771
-160.336113,230,1706.888388
262.499398,260,1709.961664
257.186794,185,1712.399038
254.6767,179,1714.725632
251.428718,179,1716.990631
-193.912834,557,1722.412506
301.966843,206,1724.521135
-135.106392,459,1729.633014
246.432037,242,1732.369839
243.831111,168,1734.322463
254.82045,194,1736.614625
265.659613,225,1739.133298
272.582939,214,1741.432437
274.313499,155,1743.137162
14.304383,130,1744.493192
276.140127,160,1746.14453
276.744625,196,1748.170353
261.21065,162,1749.802496
242.105141,183,1751.969404
273.085772,150,1753.872311
250.159201,154,1755.846088
296.404523,194,1758.140589
300.287007,221,1760.467148
264.23284,211,1762.645789
261.520635,581,1769.26502
-89.08989,212,1771.793066
273.622512,138,1773.279556
248.683795,200,1775.389488
-109.241838,393,1779.446803
293.37665,199,1781.672827
253.670533,162,1783.55035
278.733405,169,1785.369962
259.903418,187,1787.692313
289.732107,157,1790.008194
285.144478,199,1792.128532
291.298705,151,1793.868173
41.667019,107,1795.24691
263.082486,186,1797.416742
46.239163,160,1799.448677
271.444929,183,1801.589982
287.785192,226,1804.288396
270.992611,179,1806.507982
269.901422,181,1808.508903
304.456483,245,1811.227173
289.779136,188,1813.114079
261.681125,141,1814.796481
11.89079,123,1816.350694
72.129538,136,1817.900551
260.780852,172,1819.668571
255.300067,167,1821.382229
276.215029,212,1823.835454
295.83111,267,1826.667843
289.193438,182,1828.558162
232.268125,433,1832.962901
284.465828,150,1834.404443
286.641433,141,1836.174704
5.161073,125,1837.715006
278.332802,203,1840.186167
29.872878,105,1841.459963
275.45297,223,1843.822854
301.839774,155,1845.363275
264.837639,207,1847.536906
251.703994,223,1850.033235
293.015761,309,1853.514738
246.916097,177,1855.485837
275.795865,171,1857.27849
258.220032,168,1858.926186
265.747423,191,1860.780047
46.729271,114,1861.922447
266.885183,188,1864.092929
86.67006,130,1865.69657
268.05639,187,1867.994517
259.790906,182,1870.226913
261.318852,201,1872.088292
270.054636,163,1873.574812
306.954074,184,1875.257045
241.227409,189,1877.136326
78.796351,147,1878.596346
282.280488,335,1881.821864
287.358887,240,1884.34861
50.793693,124,1885.790587
270.23271,200,1888.107237
-15.387759,117,1889.457259
262.308179,192,1891.512213
307.613206,199,1893.459686
296.016787,204,1895.403048
293.106634,235,1897.793288
253.393294,185,1899.983861
234.746323,328,1903.792348
282.678221,184,1905.631219
253.034772,199,1907.702762
228.197092,230,1910.315612
267.468649,211,1912.87578
288.274164,222,1915.711674
182.483654,288,1919.349622
48.401538,119,1920.610904
-189.048794,406,1924.90375
280.066282,157,1926.765796
251.173427,213,1929.424794
249.768844,236,1932.40669
281.839376,158,1934.237785
254.876148,249,1936.799972
248.684576,187,1938.996651
240.121306,197,1941.358123
269.998177,194,1943.61849
244.08432,186,1945.776439
269.214507,243,1948.673164
279.598907,196,1951.0931
260.852882,200,1953.517553
36.550708,83,1954.547187
9.223057,120,1956.02186
37.851311,112,1957.361746
264.515515,630,1964.867219
285.083399,682,1972.904726
264.565326,358,1977.386827
254.480044,365,1981.428483
254.721662,201,1983.775532
244.267659,158,1985.60338
28.699146,97,1986.795678
264.742441,206,1989.043368
252.14114,326,1992.606894
283.264031,244,1995.516805
298.708749,276,1998.981837
293.090068,246,2001.605337
9.13817,109,2002.710694
265.619193,285,2005.862728
301.410133,260,2008.697594
259.792855,197,2010.830715
275.655699,170,2012.659154
260.751609,180,2014.747982
293.493184,187,2016.967993
284.70641,230,2019.688243
262.148274,856,2029.127681
304.179737,254,2031.882832
43.376208,138,2033.37837
53.230018,106,2034.563471
33.957308,165,2036.525298
262.982235,191,2038.947242
290.208557,237,2041.853321
263.754154,184,2043.83243
